1378	680	0	JEA	June epsilon Arietids                   	 annual 	0	85	46.7	27.1	1.07	0.27	39.1	1.45	0.059	0.96	23.4	84.6	37.6	8	0	0	C/2002 V5                               	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 384</A>
1409	706	0	ZPI	zeta Piscids                            	 annual 	0	172	19.8	9.7	0.94	0.37	38.2	1.74	0.064	0.96	335.5	172.4	5.2	14	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 384</A>
1416	710	0	IOL	iota Leonids                            	 annual 	0	317	172.2	10.1	0.93	-0.39	40.4	1.59	0.054	0.967	337.6	317	25.8	19	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 384</A>
1421	714	0	RPI	rho Piscids                             	 annual 	0	177	22.8	16.9	0.97	0.37	43.9	1.89	0.048	0.988	336.7	176.5	33	7	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 384</A>
1446	732	0	FGV	February gamma Virginids                	 annual 	0	338	191.1	-3	0.92	-0.39	41.2	1.5	0.036	0.98	342.4	337.4	8.7	14	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 384</A>
1461	747	0	JKL	January kappa Leonids                   	 annual 	0	287.6	141.9	21.5	       	       	39.5	1.75	0.078	0.955	332.7	287.6	22.8	133	644	0	                                        	                                                                                                                                                      	C   	1) Jenniskens et al., 2018, P&SS accepted
1462	748	0	JTL	January theta Leonids                   	 annual 	0	311.3	165.5	12.5	       	       	40.2	1.75	0.067	0.962	334.6	311.3	23.1	107	0	0	                                        	                                                                                                                                                      	C   	1) Jenniskens et al., 2018, P&SS accepted
1463	749	0	NMV	Northern March gamma Virginids          	 annual 	0	339	189.1	3	1.1	-0.35	42.7	2.4	0.071	0.979	332.5	338.9	23.7	13	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 384</A>
1465	750	0	SMV	Southern March gamma Virginids          	 annual 	0	344	188.1	-8.8	0.93	-0.39	40.8	2.02	0.095	0.966	149.5	164.2	18.5	12	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 384</A>
1522	792	0	MBE	March beta Equuleids                    	 annual 	0	359	320.9	5	-0.01	-0.01	45.6	4.17	0.148	0.965	42.8	359	68.8	61	0	0	2012US136                               	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/2017Icar..290..162P' target=_blank> Pokorny et al., 2017, Icarus, 290, 162 </A> 
1524	793	0	KCA	kappa Cancrids                          	2015	0	289	137.8	8.9	       	       	47.3	550.000000000061	0.055	0.9999	152.6	109.5	35	40	0	0	2015 outburst                           	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/2016pimo.conf...42B' target=_blank> Brown P.G.,  2016, Proc. of the IMC, Egmond</A> 
1589	845	0	OEV	October eta Virginids                   	 annual 	0	211.5	181.6	-7.5	       	       	40.7	2.47	0.089	0.964	210.9	31.5	21.5	5	0	0	                                        	                                                                                                                                                      	C   	1) Jenniskens et al., 2018 accepted by P&SS
1592	848	0	OPE	omicron Perseids                        	 annual 	0	198.1	53.5	31.5	       	       	51.7	6.2	0.071	0.989	330.3	198.1	106	11	0	0	                                        	                                                                                                                                                      	C   	1) Jenniskens et al., 2018 accepted by P&SS
1614	868	0	PSQ	psi3 Aquariids                          	 annual 	0	120.5	347.4	-11.9	       	       	53.1	5.01	0.048	0.991	156.4	300.5	140.7	11	0	0	                                        	                                                                                                                                                      	C   	1) Jenniskens et al., 2018 accepted by P&SS
1625	879	0	ATI	alpha Taurids                           	 annual 	0	203.3	72.4	15.2	       	       	58.1	9.36	0.142	0.985	136.8	23.3	152.9	18	0	0	                                        	                                                                                                                                                      	C   	1) Jenniskens et al., 2018 accepted by P&SS
1654	908	0	XXL	xi2 Librids                             	 annual 	0	254.4	223	-10.6	       	       	42.3	2.17	0.052	0.976	23.4	254.4	25.5	1	0	0	                                        	                                                                                                                                                      	C   	1) Jenniskens et al., 2018 accepted by P&SS
1663	917	0	OVI	omicron Virginids                       	 annual 	0	202.5	179.2	10.8	       	       	36.4	1.53	0.125	0.919	34.1	202.5	24.5	4	0	0	                                        	                                                                                                                                                      	C   	1) Jenniskens et al., 2018 accepted by P&SS
1668	921	0	JLC	July lambda Capricornids                	 annual 	0	124.7	329.1	-8.5	       	       	37.3	2.49	0.129	0.95	322.7	124.7	9.8	25	0	0	                                        	                                                                                                                                                      	C   	1) Jenniskens et al., 2018 accepted by P&SS
