403	153	1	OCE	Southern Daytime omega Cetids           	 annual 	1	45	19	-7	0.8	0.38	36.5	1.58333333333333	0.133	0.916	214.9	225	37.1	970	0	0	C/2003 Q1 (SOHO)?                       	                                                                                                                                                      	R   	2) <A href='http://adsabs.harvard.edu/abs/2002dsso.conf...48G' target=_blank>Galligan and Baggaley, 2002</A> (Group Peak 2)
404	153	2	OCE	Southern Daytime omega Cetids           	2002/06 	1	45.5	20.5	-6.1	0.93	0.44	36.9	1.72	0.136	0.9213	216.4	225.2	35.6	837	0	0	C/2003 Q1 (SOHO)?                       	                                                                                                                                                      	R   	3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
420	164	0	NZC	Northern June Aquilids                  	1968/69 	1	86	298.3	-7.1	       	       	36.3	1.348	0.114	0.915430267062315	329.5	86.5	39.3	35	295	2	2009 U10, 1997 H2                       	Member of 295/JAQ Complex                                                                                                                             	R   	1) <A href='http://adsabs.harvard.edu/abs/1976Icar...27..265S' target=_blank>Sekanina, 1976</A> 
421	164	1	NZC	Northern June Aquilids                  	2002/06 	1	101.5	310.4	-4.9	0.83	0.16	38.4	1.71	0.11	0.9356	327.7	101.3	39.4	1377	295	2	2009 U10, 1997 H2                       	Member of 295/JAQ Complex                                                                                                                             	R   	2) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
422	164	2	NZC	Northern June Aquilids                  	2011	1	108.09	315.35	-3.07	       	       	38.33	2.11	0.124	0.941232227488152	324.6	108.09	37.6	131	295	2	2009 U10, 1997 H2                       	Member of 295/JAQ Complex                                                                                                                             	T   	3) <A href='http://adsabs.harvard.edu/abs/2012JIMO...40..166H' target=_blank>Holman and Jenniskens, 2012</A> 
423	164	3	NZC	Northern June Aquilids                  	 annual 	1	101	309.7	-5.3	0.95	0.26	38.3	1.79	0.114	0.937	326.9	101.7	38.8	404	295	2	2009 U10, 1997 H2                       	Member of 295/JAQ Complex                                                                                                                             	T   	4) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
425	165	0	SZC	Southern June Aquilids                  	 annual 	1	80	297.8	-33.9	       	       	33.2	1.15	0.11	0.904347826086956	152	259.7	33.5	4	295	3	                                        	Member of 295/JAQ Complex                                                                                                                             	R   	1) <A href='http://adsabs.harvard.edu/abs/1975AuJPh..28..591G' target=_blank>Gartrell and Elford, 1975</A> 
426	165	1	SZC	Southern June Aquilids                  	2002/06 	1	80.5	304.7	-32.8	0.02	0.3	38.6	1.12	0.064	0.9433	158.6	260.4	56	65	295	3	                                        	Member of 295/JAQ Complex                                                                                                                             	R   	2) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
427	165	2	SZC	Southern June Aquilids                  	 annual 	1	104	319.3	-27.6	1.05	0.3	39.2	2	0.105	0.952	148.2	282.8	36.1	89	295	3	                                        	Member of 295/JAQ Complex                                                                                                                             	T   	3) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
437	171	0	ARI	Daytime Arietids                        	 annual 	1	76.7	40.2	23.8	       	       	35.7	1.376	0.085	0.938226744186046	25.9	77.6	25	48	0	0	Marsden group of sunskirters            	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/1976Icar...27..265S' target=_blank>Sekanina, 1976</A> 
438	171	1	ARI	Daytime Arietids                        	 annual 	1	76.7	44.1	24.1	0.7	0.6	37	1.61	0.09	0.944099378881988	29	77.5	21	     	0	0	Marsden group of sunskirters            	                                                                                                                                                      	    	2) <A href='http://adsabs.harvard.edu/abs/1954meas.book.....L' target=_blank>Lovell, 1954</A> 
439	171	2	ARI	Daytime Arietids                        	2002/06 	1	74.5	41.7	23.6	0.6	0.19	39.1	2.02	0.082	0.9593	28.7	75	24.8	2142	0	0	Marsden group of sunskirters            	                                                                                                                                                      	R   	3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
440	171	3	ARI	Daytime Arietids                        	 annual 	1	77	43.9	24.4	1.05	0.28	41.1	2.67	0.078	0.974	28.7	79.1	27.7	31	0	0	P/1999 J6                               	Marsden group of sunskirters                                                                                                                          	T   	4) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
471	183	1	PAU	Piscis Austrinids                       	2002/06 	1	126.5	347.9	-23.7	0.89	0.16	44.1	3.12	0.122	0.9611	142.8	306.2	64.1	91	0	0	                                        	                                                                                                                                                      	R   	2) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
474	183	4	PAU	Piscis Austrinids                       	 annual 	1	136	352.5	-20.5	0.94	0.4	43.8	5.66	0.135	0.98	139.1	315.3	53.1	23	0	0	                                        	                                                                                                                                                      	T   	5) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
491	188	0	XRI	Daytime xi Orionids                     	 annual 	1	121.9	94.4	15	       	       	44	8.33	0.08	0.990396158463385	211.6	301.9	32.8	3	0	0	                                        	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/1964AuJPh..17..205N' target=_blank>Nilsson, 1964</A> 
492	188	1	XRI	Daytime xi Orionids                     	 annual 	1	117.7	98.7	16	       	       	38.4	5.18	0.18	0.965250965250965	228	297.7	16	23	0	0	                                        	                                                                                                                                                      	R   	2) Kashcheev et al., 1967
493	188	2	XRI	Daytime xi Orionids                     	2002/06 	1	131.5	102.9	16.6	0.9	-0.4	45.4	7	0.048	0.9932	204.1	311.3	33.2	204	0	0	                                        	                                                                                                                                                      	R   	3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
518	202	0	ZCA	Daytime zeta Cancrids                   	 annual 	1	147	119.7	19	       	       	43.8	5	0.05	0.99	206.5	326.9	21.1	3	0	0	                                        	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/1964AuJPh..17..205N' target=_blank>Nilsson, 1964</A> 
519	202	1	ZCA	Daytime zeta Cancrids                   	2002/08 	1	160	136.1	11.7	0.92	-0.18	42.1	4.64	0.0883	0.981	212.57	340	16.6	949	0	0	                                        	                                                                                                                                                      	R   	2) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
540	212	0	KLE	Daytime kappa Leonids                   	 annual 	1	180.7	162.7	15.7	       	       	43.6	48	0.11	0.997708333333333	39	180.7	26	21	0	0	C/1917 F1 (Mellish)                     	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/1967SCoA...11..183K' target=_blank>Kashcheyev and Lebedinets, 1967</A> 
542	212	2	KLE	Daytime kappa Leonids                   	2002/06 	1	182.5	161.5	15.4	0.55	-0.26	43.3	5.92	0.087	0.9853	32.8	182.6	24.8	208	0	0	C/1917 F1 (Mellish)                     	                                                                                                                                                      	R   	3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
543	212	3	KLE	Daytime kappa Leonids                   	2002/08 	1	183	162.3	14.9	0.62	-0.3	43.3	6.79	0.0911	0.987	33.84	183	24.1	1366	0	0	C/1917 F1 (Mellish)                     	                                                                                                                                                      	R   	4) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
568	221	0	DSX	Daytime Sextantids                      	 annual 	1	186.1	154.5	-1.5	0.84	-0.43	31.2	1.04137931034483	0.151	0.855	212.5	6.1	23.1	410	0	0	2005 UD                                 	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/2002dsso.conf...48G' target=_blank>Galligan and Baggaley, 2002</A> 
569	221	1	DSX	Daytime Sextantids                      	2002/06 	1	186.5	154.6	-1.4	0.7	-0.51	31.84	1.27	0.184	0.855	219.6	6.2	20.7	556	0	0	2005 UD                                 	                                                                                                                                                      	R   	2) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
571	221	3	DSX	Daytime Sextantids                      	2002/08 	1	186	154.3	-1	0.56	-0.54	31.3	1.07	0.1511	0.858	212.99	6	22	1292	0	0	2005 UD                                 	                                                                                                                                                      	R   	4) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
572	221	4	DSX	Daytime Sextantids                      	 annual 	1	188	156.6	-2.4	0.91	-0.37	32.9	1.14	0.147	0.874	214.3	6.4	24.3	14	0	0	2005 UD                                 	                                                                                                                                                      	T   	5) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
619	250	1	NOO	November Orionids                       	 annual 	1	245	85.2	15.6	0.71	-0.03	43.3	12.7	0.088	0.993070866141732	145.8	-60	26.9	16	0	0	                                        	                                                                                                                                                      	    	2) <A href='http://adsabs.harvard.edu/abs/2006mspc.book.....J' target=_blank>Jenniskens, 2006</A> 
620	250	2	NOO	November Orionids                       	2002/06 	1	245.5	90.2	15.5	0.74	-0.06	43.5	11.8	0.098	0.9917	144.1	65.1	26.6	1097	0	0	                                        	                                                                                                                                                      	R   	3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
623	250	5	NOO	November Orionids                       	2002/08 	1	246	90.5	15.3	0.761	-0.04	43.1	12.01	0.1066	0.991	142.37	66	67.1	338	0	0	                                        	in Brown et al. (2010) this shower is named Nov. omega Orionids                                                                                       	R   	6) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
624	250	6	NOO	November Orionids                       	 annual 	1	247	90.6	15.2	1.03	-0.01	42.5	8.36	0.116	0.99	140.4	67.6	24.4	369	0	0	                                        	in Brown et al. (2010) this shower is named Nov. omega Orionids                                                                                       	T   	7) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
717	319	0	JLE	January Leonids                         	2002/06 	1	282.5	148.3	23.9	0.66	-0.14	52.7	6.3	0.055	0.9913	333.7	282	109.3	138	0	0	                                        	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
719	319	2	JLE	January Leonids                         	2002/08 	1	282	148.2	23.7	0.7	-0.13	52.3	5.34	0.0517	0.99	334.71	282	107.9	1160	0	0	                                        	                                                                                                                                                      	R   	3) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
721	319	4	JLE	January Leonids                         	 annual 	1	283	147.7	24.1	1.01	-0.34	51.4	5.43	0.048	0.991	335.7	283.4	100.1	13	0	0	                                        	                                                                                                                                                      	T   	5) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
737	324	0	EPR	epsilon Perseids                        	 annual 	1	95.5	58.2	37.9	0.78	0.15	44.8	4.55	0.13	0.9714	39.7	96	63	203	0	0	                                        	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
738	324	1	EPR	epsilon Perseids                        	 annual 	1	88	53.8	37.8	1.17	0.23	43.8	9.05	0.167	0.982	46.8	87.9	53	4	0	0	                                        	                                                                                                                                                      	T   	2) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
739	324	2	EPR	epsilon Perseids                        	 annual 	10	89.9	55	37.2	       	       	44.2	8.33	0.153	0.982	44.2	89.9	55.2	27	0	0	                                        	                                                                                                                                                      	C   	3) Jenniskens et al., 2018 sub. to PSS
740	325	0	DLT	Daytime lambda Taurids                  	 annual 	1	85.5	56.7	11.5	0.82	0.27	36.4	1.57	0.104	0.9337	210.8	1.7	23.2	406	0	0	                                        	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
742	326	0	EPG	epsilon Pegasids                        	 annual 	1	105.5	326.3	14.7	1.5	0.45	29.9	0.757	0.173	0.7711	334.9	105.2	55.4	65	0	0	                                        	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
743	326	1	EPG	epsilon Pegasids                        	 annual 	1	109	330.2	13	0.87	0.35	28.4	0.73	0.144	0.806	337.8	109.3	49	33	0	0	                                        	                                                                                                                                                      	T   	2) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
744	326	2	EPG	epsilon Pegasids                        	 annual 	10	111.3	333.1	15.8	       	       	27.4	0.75	0.181	0.757	337.4	111.3	44.8	404	0	0	                                        	                                                                                                                                                      	C   	3) Jenniskens et al., 2018 sub. to PSS
750	330	0	SSE	sigma Serpentids                        	2002/06 	1	275.5	242.8	-0.1	0.75	-0.14	42.3	1.92	0.16	0.9168	41.3	275.9	64	540	0	0	                                        	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
751	330	1	SSE	sigma Serpentids                        	2002/08 	1	275	242.4	-0.1	0.64	0.03	42.67	1.9	0.1596	0.916	41.2	275	62.4	1075	0	0	                                        	                                                                                                                                                      	R   	2) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
752	330	2	SSE	sigma Serpentids                        	 annual 	1	276	245.4	-4.8	0.95	-0.16	45.5	4.3	0.123	0.972	39.1	273.3	60	3	0	0	                                        	                                                                                                                                                      	T   	3) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
870	388	0	CTA	chi Taurids                             	 annual 	1	220	63.2	24.7	0.96	0.19	42.1	4.97	0.0807	0.984	328.49	220	12.3	1850	0	0	                                        	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
871	388	1	CTA	chi Taurids                             	 annual 	1	221	63	26.2	1.09	0.18	41.1	4.76	0.1	0.98	324.7	220.9	15	52	0	0	                                        	                                                                                                                                                      	T   	2) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
874	390	0	THA	November theta Aurigids                 	 annual 	1	237	89	34.7	1.49	0.14	33.8	1.13	0.116	0.897	330.07	237	27.8	1180	0	0	                                        	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
875	390	1	THA	November theta Aurigids                 	 annual 	1	244	95.7	34.7	1.19	-0.04	32.5	1.12	0.142	0.879	327.5	243.6	24.9	82	0	0	                                        	                                                                                                                                                      	T   	2) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
